beaconid, anchorId, time, rssi
b1,b827eb0e666f,1649054940026,-67
b1,b827eb2b96bc,1649054940027,-70
b1,b827eb91fcaa,1649054940083,-59
b1,b827eb7dd239,1649054940102,-71
b1,b827eb0e666f,1649054940143,-68
b1,b827eb7dd239,1649054940162,-72
b1,b827eb549dff,1649054940216,-83
b1,b827eb91fcaa,1649054940220,-65
b1,b827eb92ac17,1649054940223,-86
b7,b827eb2b96bc,1649054940233,-74
b1,b827eb549dff,1649054940246,-81
b1,b827eb7dd239,1649054940298,-66
b1,b827eb91fcaa,1649054940328,-63
b1,b827eb91fcaa,1649054940358,-62
b1,b827eb0e666f,1649054940378,-70
b1,b827eb91fcaa,1649054940465,-58
b1,b827eb91fcaa,1649054940503,-60
b1,b827eb7dd239,1649054940550,-72
b1,b827eb0e666f,1649054940592,-67
b1,b827eb549dff,1649054940596,-80
b1,b827eb92ac17,1649054940612,-82
b1,b827eb2b96bc,1649054940623,-73
b1,b827eb91fcaa,1649054940679,-60
b1,b827eb2b96bc,1649054940693,-69
b1,b827eb91fcaa,1649054940714,-63
b7,b827eb7dd239,1649054940733,-83
b7,b827eb2b96bc,1649054940737,-76
b1,b827eb7dd239,1649054940795,-71
b7,b827eb92ac17,1649054940795,-74
b1,b827eb91fcaa,1649054940825,-60
b1,b827eb7dd239,1649054940873,-71
b1,b827eb92ac17,1649054940934,-80
b1,b827eb91fcaa,1649054940939,-65
b1,b827eb7dd239,1649054940945,-71
b1,b827eb91fcaa,1649054940971,-66
b1,b827eb91fcaa,1649054941039,-61
b1,b827ebd72677,1649054941055,-88
b1,b827eb91fcaa,1649054941076,-64
b1,b827eb91fcaa,1649054941149,-65
b7,b827eb91fcaa,1649054941193,-65
b7,b827eb7dd239,1649054941240,-82
b7,b827eb2b96bc,1649054941245,-56
b7,b827eb0e666f,1649054941282,-55
b1,b827eb91fcaa,1649054941298,-64
b7,b827eb92ac17,1649054941302,-84
b1,b827eb91fcaa,1649054941330,-65
b1,b827ebd72677,1649054941337,-88
b1,b827eb2b96bc,1649054941342,-73
b1,b827eb91fcaa,1649054941436,-62
b1,b827eb549dff,1649054941500,-84
b1,b827eb7dd239,1649054941555,-65
b1,b827eb91fcaa,1649054941580,-60
b1,b827eb2b96bc,1649054941666,-73
b1,b827eb91fcaa,1649054941689,-65
b7,b827eb91fcaa,1649054941699,-76
b1,b827eb0e666f,1649054941818,-72
b1,b827eb92ac17,1649054941837,-76
b1,b827eb2b96bc,1649054941853,-71
b1,b827eb91fcaa,1649054941873,-65
b1,b827eb91fcaa,1649054941902,-65
b1,b827eb7dd239,1649054941978,-66
b1,b827eb2b96bc,1649054942020,-73
b1,b827eb91fcaa,1649054942039,-65
b1,b827eb91fcaa,1649054942079,-66
b1,b827eb2b96bc,1649054942163,-71
b7,b827eb91fcaa,1649054942203,-75
b1,b827eb91fcaa,1649054942219,-64
b1,b827eb91fcaa,1649054942250,-63
b1,b827eb7dd239,1649054942268,-76
b1,b827eb549dff,1649054942277,-84
b1,b827ebd72677,1649054942296,-89
b1,b827eb7dd239,1649054942298,-74
b1,b827eb0e666f,1649054942309,-66
b1,b827eb549dff,1649054942314,-83
b1,b827eb92ac17,1649054942329,-84
b1,b827eb0e666f,1649054942340,-66
b1,b827eb549dff,1649054942343,-83
b1,b827eb92ac17,1649054942396,-76
b1,b827eb91fcaa,1649054942431,-64
b1,b827eb92ac17,1649054942469,-77
b1,b827eb2b96bc,1649054942483,-72
b1,b827eb91fcaa,1649054942506,-59
b1,b827eb91fcaa,1649054942537,-59
b1,b827eb0e666f,1649054942557,-70
b1,b827eb91fcaa,1649054942568,-60
b1,b827eb91fcaa,1649054942675,-64
b1,b827ebd72677,1649054942685,-90
b1,b827ebd72677,1649054942721,-89
b1,b827eb0e666f,1649054942729,-69
b1,b827eb549dff,1649054942733,-84
b1,b827eb91fcaa,1649054942740,-64
b1,b827eb92ac17,1649054942749,-89
b7,b827eb7dd239,1649054942750,-80
b1,b827eb92ac17,1649054942782,-77
b7,b827eb0e666f,1649054942792,-73
b1,b827eb91fcaa,1649054942804,-62
b1,b827eb91fcaa,1649054942950,-64
b1,b827eb2b96bc,1649054942962,-72
b1,b827eb7dd239,1649054942995,-66
b1,b827eb549dff,1649054943041,-84
b1,b827eb92ac17,1649054943056,-76
b1,b827eb91fcaa,1649054943084,-65
b1,b827eb91fcaa,1649054943133,-64
b1,b827eb2b96bc,1649054943214,-71
b1,b827eb91fcaa,1649054943236,-67
b7,b827eb2b96bc,1649054943262,-66
b1,b827eb91fcaa,1649054943309,-64
b1,b827eb92ac17,1649054943346,-82
b1,b827eb7dd239,1649054943354,-66
b1,b827eb7dd239,1649054943542,-73
b1,b827eb2b96bc,1649054943754,-70
b1,b827eb91fcaa,1649054943905,-64
b1,b827eb0e666f,1649054943993,-73
b1,b827eb91fcaa,1649054944007,-60
b1,b827eb92ac17,1649054944011,-76
b1,b827eb0e666f,1649054944026,-75
b1,b827eb91fcaa,1649054944085,-65
b1,b827eb0e666f,1649054944173,-75
b7,b827eb91fcaa,1649054944218,-73
b1,b827eb7dd239,1649054944242,-75
b1,b827eb2b96bc,1649054944246,-74
b1,b827eb91fcaa,1649054944261,-66
b1,b827eb0e666f,1649054944284,-68
b1,b827eb549dff,1649054944288,-83
b1,b827eb91fcaa,1649054944294,-65
b1,b827ebd72677,1649054944307,-90
b1,b827eb2b96bc,1649054944313,-71
b1,b827eb91fcaa,1649054944330,-64
b1,b827ebd72677,1649054944339,-90
b1,b827eb91fcaa,1649054944361,-64
b1,b827eb91fcaa,1649054944429,-62
b1,b827eb91fcaa,1649054944540,-68
b1,b827eb91fcaa,1649054944575,-61
