beaconid, anchorId, time, rssi
b1,b827eb91fcaa,1649057160000,-71
b1,b827eb92ac17,1649057160025,-80
b1,b827eb549dff,1649057160038,-84
b1,b827eb2b96bc,1649057160053,-69
b1,b827eb7dd239,1649057160059,-69
b1,b827eb0e666f,1649057160084,-63
b7,b827eb7dd239,1649057160116,-53
b1,b827eb92ac17,1649057160138,-78
b7,b827eb549dff,1649057160159,-83
b1,b827eb549dff,1649057160178,-83
b1,b827eb92ac17,1649057160199,-78
b1,b827eb0e666f,1649057160259,-65
b1,b827eb7dd239,1649057160284,-72
b1,b827eb7dd239,1649057160307,-69
b1,b827eb91fcaa,1649057160346,-84
b1,b827eb92ac17,1649057160375,-81
b1,b827eb91fcaa,1649057160417,-76
b1,b827eb7dd239,1649057160450,-69
b1,b827eb2b96bc,1649057160477,-70
b1,b827eb7dd239,1649057160481,-70
b7,b827eb91fcaa,1649057160491,-70
b1,b827eb0e666f,1649057160541,-75
b1,b827eb91fcaa,1649057160589,-82
b1,b827eb0e666f,1649057160611,-66
b7,b827eb7dd239,1649057160625,-69
b1,b827eb2b96bc,1649057160683,-66
b1,b827eb7dd239,1649057160722,-64
b1,b827eb92ac17,1649057160792,-83
b1,b827eb2b96bc,1649057160821,-68
b1,b827eb0e666f,1649057160852,-60
b1,b827eb92ac17,1649057160907,-87
b1,b827eb92ac17,1649057160942,-86
b1,b827eb91fcaa,1649057160955,-84
b7,b827eb91fcaa,1649057160999,-70
b1,b827eb91fcaa,1649057161070,-83
b1,b827eb2b96bc,1649057161117,-70
b7,b827eb92ac17,1649057161132,-85
b7,b827eb7dd239,1649057161132,-67
b1,b827eb0e666f,1649057161148,-69
b7,b827eb2b96bc,1649057161161,-75
b1,b827eb7dd239,1649057161165,-68
b7,b827eb549dff,1649057161174,-83
b7,b827eb0e666f,1649057161191,-73
b1,b827eb91fcaa,1649057161212,-71
b1,b827eb2b96bc,1649057161232,-67
b1,b827eb7dd239,1649057161238,-70
b1,b827eb92ac17,1649057161241,-90
b1,b827eb7dd239,1649057161270,-71
b1,b827eb2b96bc,1649057161271,-76
b1,b827eb0e666f,1649057161301,-66
b1,b827eb7dd239,1649057161347,-68
b1,b827ebd72677,1649057161367,-94
b1,b827eb2b96bc,1649057161375,-80
b1,b827eb91fcaa,1649057161403,-74
b1,b827eb0e666f,1649057161407,-63
b1,b827eb7dd239,1649057161419,-68
b1,b827eb92ac17,1649057161422,-84
b1,b827eb91fcaa,1649057161440,-74
b1,b827eb7dd239,1649057161498,-66
b7,b827eb91fcaa,1649057161502,-75
b1,b827eb2b96bc,1649057161527,-68
b1,b827eb2b96bc,1649057161606,-71
b1,b827eb7dd239,1649057161614,-72
b7,b827eb92ac17,1649057161636,-86
b1,b827eb2b96bc,1649057161643,-60
b1,b827eb0e666f,1649057161674,-69
b1,b827eb7dd239,1649057161678,-67
b1,b827eb7dd239,1649057161715,-62
b1,b827eb2b96bc,1649057161746,-64
b1,b827eb91fcaa,1649057161765,-80
b1,b827eb0e666f,1649057161778,-70
b1,b827eb7dd239,1649057161821,-65
b1,b827eb7dd239,1649057161862,-72
b1,b827eb92ac17,1649057161900,-85
b1,b827eb2b96bc,1649057161930,-72
b1,b827eb91fcaa,1649057161939,-79
b1,b827eb549dff,1649057161940,-84
b1,b827eb91fcaa,1649057161975,-81
b1,b827eb7dd239,1649057162004,-71
b1,b827eb91fcaa,1649057162006,-83
b7,b827eb91fcaa,1649057162015,-61
b1,b827eb0e666f,1649057162026,-83
b1,b827eb91fcaa,1649057162037,-79
b1,b827eb91fcaa,1649057162071,-75
b1,b827eb7dd239,1649057162072,-70
b1,b827eb2b96bc,1649057162102,-70
b1,b827eb7dd239,1649057162106,-68
b1,b827eb0e666f,1649057162132,-62
b1,b827eb7dd239,1649057162138,-69
b1,b827eb2b96bc,1649057162139,-65
b7,b827eb7dd239,1649057162147,-69
b1,b827eb0e666f,1649057162169,-82
