beaconid, anchorId, time, rssi
b2,b827eb9e45d5,1644907845183,-73
b2,b827ebdef939,1644907845692,-81
b2,b827eb76f52d,1644907846179,-87
b2,b827eb9e45d5,1644907846184,-90
b2,b827ebaa17ae,1644907846185,-94
b2,b827eb6ee1b3,1644907846187,-88
b2,b827eb92ac17,1644907846188,-74
b2,b827ebdef939,1644907846189,-82
b2,b827eb5e73c7,1644907846190,-95
b2,b827eb6ee1b3,1644907846695,-87
b2,b827eb92ac17,1644907846696,-71
b2,b827ebdef939,1644907846697,-86
b2,b827ebb18886,1644907846704,-82
b2,b827eb76f52d,1644907847195,-81
b2,b827eb92ac17,1644907847202,-76
b2,b827ebdef939,1644907847204,-85
b2,b827eb5e73c7,1644907847206,-88
b2,b827ebb18886,1644907847209,-69
b2,b827eb76f52d,1644907848203,-91
b2,b827eb6ee1b3,1644907848210,-77
b2,b827ebb18886,1644907848217,-71
b2,b827eb76f52d,1644907848711,-88
b2,b827ebaa17ae,1644907848715,-91
b2,b827eb289a56,1644907848716,-92
b2,b827eb92ac17,1644907849729,-78
b2,b827eb5e73c7,1644907849730,-85
b2,b827eb6ee1b3,1644907850235,-77
b2,b827eb92ac17,1644907850235,-76
b2,b827ebdef939,1644907850237,-74
b2,b827eb76f52d,1644907850737,-70
b2,b827eb9e45d5,1644907850741,-88
b2,b827eb92ac17,1644907850745,-86
b2,b827eb5e73c7,1644907850746,-85
b2,b827ebdef939,1644907850746,-81
b2,b827ebb18886,1644907850751,-62
b2,b827eb76f52d,1644907851246,-88
b2,b827eb9e45d5,1644907851250,-87
b2,b827eb92ac17,1644907851253,-72
b2,b827eb6ee1b3,1644907851254,-77
b2,b827ebdef939,1644907851255,-69
b2,b827eb5e73c7,1644907851255,-83
b2,b827eb76f52d,1644907851751,-83
b2,b827eb289a56,1644907851759,-83
b2,b827eb92ac17,1644907851759,-72
b2,b827ebdef939,1644907851761,-73
b2,b827eb5e73c7,1644907851761,-80
b2,b827eb76f52d,1644907852253,-87
b2,b827eb92ac17,1644907852259,-78
b2,b827eb6ee1b3,1644907852262,-79
b2,b827eb5e73c7,1644907852262,-70
b2,b827ebdef939,1644907852262,-61
b2,b827ebb18886,1644907852269,-88
b2,b827eb76f52d,1644907853267,-84
b2,b827eb92ac17,1644907853275,-72
b2,b827eb6ee1b3,1644907853276,-73
b2,b827ebdef939,1644907853277,-77
b2,b827ebb18886,1644907853281,-67
b2,b827eb92ac17,1644907853782,-52
b2,b827ebdef939,1644907853784,-86
b2,b827ebb18886,1644907853789,-58
b2,b827eb9e45d5,1644907854286,-81
b2,b827eb6ee1b3,1644907854291,-78
b2,b827eb92ac17,1644907854292,-47
b2,b827ebdef939,1644907854294,-75
b2,b827ebb18886,1644907854300,-79
b2,b827ebb18886,1644907854804,-58
b2,b827eb9e45d5,1644907855293,-81
b2,b827eb6ee1b3,1644907855297,-85
b2,b827eb92ac17,1644907855297,-62
b2,b827ebdef939,1644907855299,-78
b2,b827eb76f52d,1644907855798,-84
b2,b827eb9e45d5,1644907855802,-87
b2,b827ebaa17ae,1644907855804,-85
b2,b827eb92ac17,1644907855806,-70
b2,b827eb289a56,1644907855807,-93
b2,b827ebdef939,1644907855808,-62
b2,b827eb6ee1b3,1644907855809,-72
b2,b827eb9e45d5,1644907856307,-76
b2,b827eb289a56,1644907856311,-93
b2,b827eb92ac17,1644907856311,-49
b2,b827eb5e73c7,1644907856312,-84
b2,b827eb6ee1b3,1644907856312,-74
b2,b827ebdef939,1644907856313,-74
b2,b827ebb18886,1644907856319,-70
b2,b827ebfd8f8d,1644907857320,-79
b2,b827ebaa17ae,1644907857324,-88
b2,b827eb76f52d,1644907857816,-86
b2,b827eb9e45d5,1644907857820,-70
b2,b827eb92ac17,1644907857824,-46
b2,b827eb6ee1b3,1644907857825,-67
b2,b827ebdef939,1644907857826,-48
b2,b827ebb18886,1644907857831,-69
b2,b827eb289a56,1644907858332,-95
b2,b827eb6ee1b3,1644907858334,-72
b2,b827eb9e45d5,1644907858835,-96
b2,b827eb92ac17,1644907858837,-75
b2,b827eb6ee1b3,1644907858838,-75
b2,b827ebdef939,1644907858839,-61
b2,b827eb289a56,1644907858839,-92
b2,b827eb5e73c7,1644907858839,-68
b2,b827ebb18886,1644907858846,-67
b2,b827eb5e73c7,1644907859345,-89
b2,b827eb76f52d,1644907859843,-80
b2,b827eb92ac17,1644907859850,-57
b2,b827eb5e73c7,1644907859851,-80
b2,b827ebdef939,1644907859851,-62
b2,b827eb6ee1b3,1644907859852,-72
b2,b827ebb18886,1644907859859,-64
b2,b827eb76f52d,1644907860349,-80
b2,b827ebaa17ae,1644907860354,-95
b2,b827eb289a56,1644907860356,-90
b2,b827eb92ac17,1644907860357,-56
b2,b827eb6ee1b3,1644907860357,-59
b2,b827ebdef939,1644907860358,-49
b2,b827eb5e73c7,1644907860359,-86
b2,b827ebb18886,1644907860364,-66
b2,b827eb76f52d,1644907860855,-84
b2,b827ebaa17ae,1644907860860,-92
b2,b827eb289a56,1644907860862,-92
b2,b827eb92ac17,1644907860863,-56
b2,b827eb5e73c7,1644907860864,-73
b2,b827ebdef939,1644907860864,-64
b2,b827ebb18886,1644907860870,-66
b2,b827eb76f52d,1644907861357,-73
b2,b827eb92ac17,1644907862375,-58
b2,b827ebdef939,1644907862376,-47
b2,b827eb5e73c7,1644907862376,-82
b2,b827ebb18886,1644907862384,-61
b2,b827eb92ac17,1644907862878,-54
b2,b827eb6ee1b3,1644907862878,-59
b2,b827eb289a56,1644907862878,-77
b2,b827ebdef939,1644907862879,-64
b2,b827eb76f52d,1644907863380,-70
b2,b827eb9e45d5,1644907863382,-96
b2,b827ebaa17ae,1644907863385,-84
b2,b827eb92ac17,1644907863387,-55
b2,b827eb6ee1b3,1644907863388,-72
b2,b827ebdef939,1644907863389,-63
b2,b827ebb18886,1644907863395,-65
b2,b827eb76f52d,1644907863881,-89
b2,b827ebfd8f8d,1644907863884,-94
b2,b827eb92ac17,1644907863890,-56
b2,b827eb5e73c7,1644907863891,-75
b2,b827ebb18886,1644907863897,-65
b2,b827eb76f52d,1644907864384,-85
b2,b827eb9e45d5,1644907864389,-90
b2,b827ebaa17ae,1644907864392,-90
b2,b827eb6ee1b3,1644907864392,-76
b2,b827eb5e73c7,1644907864394,-80
b2,b827ebdef939,1644907864394,-47
b2,b827ebb18886,1644907864399,-63
b2,b827eb92ac17,1644907864893,-57
b2,b827eb6ee1b3,1644907864894,-76
b2,b827eb5e73c7,1644907864895,-80
b2,b827ebdef939,1644907864895,-61
b2,b827ebb18886,1644907864903,-63
b2,b827eb76f52d,1644907865392,-81
b2,b827eb9e45d5,1644907865394,-92
b2,b827eb289a56,1644907865399,-74
b2,b827eb6ee1b3,1644907865400,-73
b2,b827ebb18886,1644907865407,-63
b2,b827eb76f52d,1644907865896,-81
b2,b827eb92ac17,1644907865904,-55
b2,b827eb6ee1b3,1644907865906,-58
b2,b827ebdef939,1644907865906,-63
b2,b827eb5e73c7,1644907865906,-87
b2,b827ebb18886,1644907865912,-67
b2,b827eb6ee1b3,1644907866409,-77
b2,b827eb76f52d,1644907866905,-84
b2,b827eb5e73c7,1644907866915,-79
b2,b827ebb18886,1644907866919,-72
b2,b827ebaa17ae,1644907867418,-91
b2,b827eb92ac17,1644907867419,-54
b2,b827eb6ee1b3,1644907867420,-76
b2,b827ebdef939,1644907867421,-57
b2,b827eb76f52d,1644907867919,-93
b2,b827eb9e45d5,1644907867923,-75
b2,b827eb92ac17,1644907867926,-58
b2,b827ebaa17ae,1644907867926,-90
b2,b827eb6ee1b3,1644907867927,-66
b2,b827ebdef939,1644907867928,-60
b2,b827eb5e73c7,1644907867928,-80
b2,b827eb76f52d,1644907868421,-81
b2,b827eb9e45d5,1644907868423,-91
b2,b827eb289a56,1644907868428,-89
b2,b827eb6ee1b3,1644907868429,-73
b2,b827ebb18886,1644907868436,-57
b2,b827eb76f52d,1644907868930,-81
b2,b827eb6ee1b3,1644907868938,-73
b2,b827ebdef939,1644907868939,-63
b2,b827eb76f52d,1644907869437,-80
b2,b827eb9e45d5,1644907869441,-92
b2,b827eb289a56,1644907869445,-90
b2,b827eb92ac17,1644907869446,-40
b2,b827eb6ee1b3,1644907869446,-73
b2,b827eb5e73c7,1644907869447,-74
b2,b827ebdef939,1644907869448,-63
b2,b827ebb18886,1644907869453,-66
b2,b827eb76f52d,1644907869942,-73
b2,b827eb6ee1b3,1644907869951,-76
b2,b827eb92ac17,1644907869951,-55
b2,b827ebdef939,1644907869952,-65
b2,b827eb5e73c7,1644907869952,-87
b2,b827ebb18886,1644907869958,-66
b2,b827eb76f52d,1644907870451,-83
b2,b827ebfd8f8d,1644907870454,-93
b2,b827ebaa17ae,1644907870456,-92
b2,b827eb6ee1b3,1644907870459,-76
b2,b827eb92ac17,1644907870460,-56
b2,b827ebdef939,1644907870461,-65
b2,b827eb5e73c7,1644907870461,-76
b2,b827ebb18886,1644907870467,-67
b2,b827eb76f52d,1644907870958,-85
b2,b827eb92ac17,1644907870965,-40
b2,b827ebdef939,1644907870967,-47
b2,b827ebb18886,1644907870973,-58
b2,b827eb76f52d,1644907871464,-84
b2,b827eb6ee1b3,1644907871472,-76
b2,b827ebaa17ae,1644907871981,-90
