beaconid, anchorId, time, rssi
b2,b827ebed958b,1632794095002,-68
b2,b827ebc26413,1632794095012,-49
b2,b827ebd17612,1632794095012,-80
b2,b827eb527b42,1632794095501,-71
b2,b827eb259b99,1632794095503,-77
b2,b827eb5b744d,1632794095503,-73
b2,b827ebdef939,1632794095506,-73
b2,b827ebd17612,1632794095517,-80
b2,b827ebc26413,1632794095517,-69
b2,b827ebd2aa10,1632794095518,-79
b2,b827eb3ab224,1632794095522,-88
b2,b827ebfa82f0,1632794095525,-92
b2,b827eb3f8951,1632794095535,-74
b2,b827eb527b42,1632794095992,-70
b2,b827eb640a9c,1632794096003,-74
b2,b827eb5b744d,1632794096005,-75
b2,b827ebed958b,1632794096008,-72
b2,b827ebc26413,1632794096018,-63
b2,b827ebd17612,1632794096020,-93
b2,b827ebd2aa10,1632794096022,-74
b2,b827eb3f8951,1632794096038,-66
b2,b827eb527b42,1632794096495,-70
b2,b827eb640a9c,1632794096506,-65
b2,b827eb5b744d,1632794096507,-76
b2,b827ebed958b,1632794096511,-71
b2,b827ebdef939,1632794096511,-84
b2,b827ebd17612,1632794096522,-92
b2,b827ebd2aa10,1632794096524,-59
b2,b827ebfa82f0,1632794096530,-82
b2,b827eb527b42,1632794097000,-79
b2,b827eb640a9c,1632794097006,-68
b2,b827eb5b744d,1632794097009,-77
b2,b827ebed958b,1632794097012,-67
b2,b827ebd17612,1632794097022,-65
b2,b827ebc26413,1632794097022,-62
b2,b827ebd2aa10,1632794097024,-84
b2,b827eb3ab224,1632794097028,-83
b2,b827ebfa82f0,1632794097031,-91
b2,b827eb3f8951,1632794097041,-77
b2,b827eb527b42,1632794097506,-80
b2,b827eb640a9c,1632794097516,-70
b2,b827eb5b744d,1632794097519,-77
b2,b827ebed958b,1632794097522,-52
b2,b827ebc26413,1632794097531,-62
b2,b827ebd17612,1632794097532,-81
b2,b827eb3ab224,1632794097538,-83
b2,b827eb3f8951,1632794097551,-79
b2,b827eb640a9c,1632794098022,-69
b2,b827ebdef939,1632794098027,-85
b2,b827ebd17612,1632794098039,-79
b2,b827eb527b42,1632794098523,-72
b2,b827eb5b744d,1632794098535,-80
b2,b827eb259b99,1632794098535,-77
b2,b827ebdef939,1632794098537,-87
b2,b827ebed958b,1632794098539,-68
b2,b827ebd17612,1632794098548,-80
b2,b827ebd2aa10,1632794098550,-66
b2,b827eb3ab224,1632794098553,-87
b2,b827eb3f8951,1632794098566,-59
b2,b827eb640a9c,1632794098724,-72
b2,b827eb640a9c,1632794099034,-59
b2,b827eb5b744d,1632794099036,-74
b2,b827ebd17612,1632794099051,-95
b2,b827eb3f8951,1632794099069,-79
b2,b827eb527b42,1632794099525,-61
b2,b827eb640a9c,1632794099536,-64
b2,b827eb259b99,1632794099538,-89
b2,b827ebed958b,1632794099541,-72
b2,b827ebdef939,1632794099541,-81
b2,b827ebc26413,1632794099551,-59
b2,b827ebd17612,1632794099552,-70
b2,b827ebd2aa10,1632794099554,-60
b2,b827eb3ab224,1632794099557,-83
b2,b827ebfa82f0,1632794099560,-85
b2,b827eb0827cf,1632794099722,-60
b2,b827eb640a9c,1632794100549,-78
b2,b827eb259b99,1632794100551,-82
b2,b827ebdef939,1632794100554,-85
b2,b827ebc26413,1632794100564,-76
b2,b827ebd17612,1632794100566,-75
b2,b827ebd2aa10,1632794100567,-85
b2,b827ebfa82f0,1632794100573,-70
b2,b827eb3f8951,1632794100583,-84
b2,b827eb527b42,1632794101043,-65
b2,b827eb640a9c,1632794101052,-81
b2,b827eb259b99,1632794101055,-77
b2,b827eb5b744d,1632794101055,-69
b2,b827ebdef939,1632794101057,-84
b2,b827ebed958b,1632794101059,-67
b2,b827ebd2aa10,1632794101070,-85
b2,b827ebd17612,1632794101070,-80
b2,b827ebfa82f0,1632794101077,-81
b2,b827eb3f8951,1632794101086,-78
b2,b827ebfa82f0,1632794101579,-85
b2,b827eb527b42,1632794102046,-76
b2,b827eb640a9c,1632794102056,-71
b2,b827eb5b744d,1632794102058,-70
b2,b827ebed958b,1632794102062,-68
b2,b827ebc26413,1632794102072,-81
b2,b827ebd17612,1632794102073,-81
b2,b827ebd2aa10,1632794102075,-78
b2,b827eb3ab224,1632794102078,-68
b2,b827ebfa82f0,1632794102081,-68
b2,b827eb3f8951,1632794102091,-68
b2,b827eb527b42,1632794102556,-67
b2,b827eb640a9c,1632794102566,-69
b2,b827eb5b744d,1632794102568,-62
b2,b827ebdef939,1632794102571,-82
b2,b827ebed958b,1632794102572,-72
b2,b827ebc26413,1632794102582,-73
b2,b827ebd17612,1632794102583,-79
b2,b827ebd2aa10,1632794102584,-81
b2,b827eb3ab224,1632794102587,-61
b2,b827ebfa82f0,1632794102591,-77
b2,b827eb3f8951,1632794102601,-76
b2,b827eb640a9c,1632794103074,-71
b2,b827eb259b99,1632794103076,-54
b2,b827eb5b744d,1632794103076,-78
b2,b827ebed958b,1632794103079,-71
b2,b827ebdef939,1632794103079,-83
b2,b827ebfa82f0,1632794103099,-92
b2,b827eb3f8951,1632794103108,-65
b2,b827eb527b42,1632794103568,-48
b2,b827eb640a9c,1632794103579,-67
b2,b827eb259b99,1632794103581,-73
b2,b827ebed958b,1632794103584,-73
b2,b827ebdef939,1632794103584,-83
b2,b827ebd17612,1632794103595,-61
b2,b827ebd2aa10,1632794103596,-61
b2,b827ebfa82f0,1632794103603,-78
b2,b827eb3f8951,1632794103613,-65
b2,b827eb527b42,1632794104070,-71
b2,b827eb640a9c,1632794104079,-54
b2,b827eb259b99,1632794104082,-72
b2,b827eb5b744d,1632794104083,-79
b2,b827ebdef939,1632794104084,-80
b2,b827ebed958b,1632794104086,-76
b2,b827ebc26413,1632794104095,-70
b2,b827ebd17612,1632794104095,-65
b2,b827ebd2aa10,1632794104097,-76
b2,b827eb3ab224,1632794104100,-71
b2,b827eb3f8951,1632794104113,-64
b2,b827eb0827cf,1632794104270,-76
b2,b827eb640a9c,1632794104587,-73
b2,b827ebed958b,1632794104592,-70
b2,b827ebc26413,1632794104602,-55
b2,b827ebd17612,1632794104603,-92
b2,b827eb5b744d,1632794105093,-71
b2,b827eb259b99,1632794105093,-75
b2,b827ebdef939,1632794105095,-79
b2,b827ebc26413,1632794105106,-76
b2,b827ebd17612,1632794105107,-99
b2,b827eb3ab224,1632794105112,-75
b2,b827eb3f8951,1632794105125,-68
b2,b827eb527b42,1632794105589,-78
b2,b827ebed958b,1632794105606,-78
b2,b827ebc26413,1632794105615,-68
b2,b827eb3ab224,1632794105621,-86
b2,b827ebd17612,1632794105621,-76
b2,b827eb3f8951,1632794105634,-58
b2,b827eb3f8951,1632794106651,-68
b2,b827eb640a9c,1632794107116,-68
b2,b827eb259b99,1632794107119,-62
b2,b827eb5b744d,1632794107120,-75
b2,b827ebed958b,1632794107122,-72
b2,b827ebc26413,1632794107132,-73
b2,b827ebd2aa10,1632794107135,-82
b2,b827ebfa82f0,1632794107141,-76
b2,b827eb527b42,1632794107613,-77
b2,b827eb640a9c,1632794107622,-66
b2,b827eb5b744d,1632794107625,-78
b2,b827eb259b99,1632794107625,-74
b2,b827ebed958b,1632794107629,-64
b2,b827ebd17612,1632794107638,-73
b2,b827ebd2aa10,1632794107640,-76
b2,b827eb3ab224,1632794107643,-79
b2,b827ebfa82f0,1632794107647,-71
b2,b827eb3f8951,1632794107656,-65
b2,b827eb259b99,1632794108131,-59
b2,b827eb5b744d,1632794108132,-76
b2,b827ebdef939,1632794108137,-81
b2,b827ebc26413,1632794108145,-71
b2,b827ebfa82f0,1632794108152,-78
b2,b827eb3f8951,1632794108163,-65
b2,b827eb527b42,1632794108625,-81
b2,b827eb640a9c,1632794108635,-65
b2,b827eb259b99,1632794108636,-69
b2,b827eb5b744d,1632794108636,-67
b2,b827ebdef939,1632794108638,-73
b2,b827ebed958b,1632794108641,-67
b2,b827ebc26413,1632794108651,-77
b2,b827ebd17612,1632794108651,-81
b2,b827ebfa82f0,1632794108658,-77
b2,b827eb3f8951,1632794108670,-67
b2,b827eb640a9c,1632794109141,-75
b2,b827ebd17612,1632794109158,-59
b2,b827ebd2aa10,1632794109159,-76
b2,b827eb5b744d,1632794109646,-69
b2,b827ebd2aa10,1632794109663,-73
b2,b827eb3f8951,1632794109678,-66
b2,b827eb527b42,1632794110136,-70
b2,b827eb640a9c,1632794110145,-70
b2,b827eb259b99,1632794110147,-61
b2,b827eb5b744d,1632794110148,-88
b2,b827ebdef939,1632794110150,-79
b2,b827ebed958b,1632794110151,-75
b2,b827ebd17612,1632794110161,-86
b2,b827ebc26413,1632794110161,-64
b2,b827ebd2aa10,1632794110164,-76
b2,b827eb3ab224,1632794110167,-77
b2,b827ebfa82f0,1632794110170,-89
b2,b827eb3f8951,1632794110179,-67
b2,b827eb527b42,1632794110639,-76
b2,b827eb259b99,1632794110650,-67
b2,b827eb5b744d,1632794110651,-56
b2,b827ebed958b,1632794110655,-85
b2,b827ebdef939,1632794110660,-65
b2,b827ebc26413,1632794110664,-65
b2,b827ebd2aa10,1632794110666,-74
b2,b827eb3ab224,1632794110669,-84
b2,b827ebfa82f0,1632794110672,-77
b2,b827eb3f8951,1632794110682,-71
b2,b827eb527b42,1632794111139,-77
b2,b827eb640a9c,1632794111149,-77
b2,b827eb5b744d,1632794111150,-74
b2,b827ebc26413,1632794111164,-78
b2,b827ebd2aa10,1632794111167,-80
b2,b827eb3f8951,1632794111183,-77
b2,b827eb527b42,1632794111647,-67
b2,b827eb640a9c,1632794111657,-68
b2,b827ebed958b,1632794111663,-65
