beaconid, anchorId, time, rssi
b9,rpi8,1625628681575,-83
b9,rpi8,1625628682579,-45
b9,rpi8,1625628683584,-59
b9,rpi8,1625628684589,-57
b9,rpi8,1625628685594,-58
b9,rpi8,1625628686598,-87
b9,rpi8,1625628687601,-63
b9,rpi8,1625628688607,-54
b9,rpi8,1625628689612,-65
b9,rpi8,1625628690615,-48
b9,rpi8,1625628691616,-66
b9,rpi8,1625628692622,-62
b9,rpi8,1625628693628,-41
b9,rpi8,1625628694632,-83
b9,rpi8,1625628695637,-82
b9,rpi8,1625628696638,-86
b9,rpi8,1625628697643,-79
b9,rpi8,1625628698644,-41
b9,rpi8,1625628699649,-71
b9,rpi8,1625628700655,-42
b9,rpi8,1625628701659,-84
b9,rpi8,1625628702661,-76
b9,rpi8,1625628703664,-61
b9,rpi8,1625628704666,-78
b9,rpi8,1625628705671,-50
b9,rpi8,1625628706674,-66
b9,rpi8,1625628707676,-45
b9,rpi8,1625628708681,-48
b9,rpi8,1625628709686,-87
b9,rpi8,1625628710687,-89
b9,rpi8,1625628711692,-77
b9,rpi8,1625628712696,-55
b9,rpi8,1625628713701,-87
b9,rpi8,1625628714707,-63
b9,rpi8,1625628715712,-55
b9,rpi8,1625628716714,-61
b9,rpi8,1625628717716,-56
b9,rpi8,1625628718721,-54
b9,rpi8,1625628719726,-76
b9,rpi8,1625628720729,-83
b9,rpi8,1625628721732,-71
b9,rpi8,1625628722736,-89
b9,rpi8,1625628723742,-56
b9,rpi8,1625628724743,-51
b9,rpi8,1625628725747,-83
b9,rpi8,1625628726752,-56
b9,rpi8,1625628727756,-62
b9,rpi8,1625628728757,-79
b9,rpi8,1625628729757,-50
b9,rpi8,1625628730760,-82
b9,rpi8,1625628731764,-73
b9,rpi8,1625628732768,-85
b9,rpi8,1625628733772,-63
b9,rpi8,1625628734775,-72
b9,rpi8,1625628735780,-42
b9,rpi8,1625628736782,-63
b9,rpi8,1625628737783,-71
b9,rpi8,1625628738788,-79
b9,rpi8,1625628739790,-48
b9,rpi8,1625628740795,-73
b9,rpi8,1625628741799,-68
b9,rpi8,1625628742804,-53
b9,rpi8,1625628743808,-43
b9,rpi8,1625628744812,-62
b9,rpi8,1625628745818,-56
b9,rpi8,1625628746821,-74
b9,rpi8,1625628747824,-49
b9,rpi8,1625628748830,-86
b9,rpi8,1625628749833,-87
b9,rpi8,1625628750836,-61
b9,rpi8,1625628751840,-84
b9,rpi8,1625628752840,-79
b9,rpi8,1625628753846,-62
b9,rpi8,1625628754851,-60
b9,rpi8,1625628755854,-45
b9,rpi8,1625628756854,-52
b9,rpi8,1625628757856,-83
b9,rpi8,1625628758856,-56
b9,rpi8,1625628759856,-50
b9,rpi8,1625628760856,-52
b9,rpi8,1625628761856,-69
b9,rpi8,1625628762856,-48
b9,rpi8,1625628763857,-76
b9,rpi8,1625628764861,-74
b9,rpi8,1625628765862,-59
b9,rpi8,1625628766867,-61
b9,rpi8,1625628767867,-64
b9,rpi8,1625628768867,-67
b9,rpi8,1625628769870,-59
b9,rpi8,1625628770873,-68
b9,rpi8,1625628771878,-57
b9,rpi8,1625628772881,-43
b9,rpi8,1625628773882,-77
b9,rpi8,1625628774887,-85
b9,rpi8,1625628775889,-55
b9,rpi8,1625628776889,-61
b9,rpi8,1625628777892,-72
b9,rpi8,1625628778896,-83
b9,rpi8,1625628779901,-56
b9,rpi8,1625628780902,-80
b9,rpi8,1625628781907,-68
b9,rpi8,1625628782912,-78
b9,rpi8,1625628783912,-72
b9,rpi8,1625628784912,-86
b9,rpi8,1625628785913,-49
b9,rpi8,1625628786918,-63
b9,rpi8,1625628787921,-78
b9,rpi8,1625628788924,-51
b9,rpi8,1625628789927,-56
b9,rpi8,1625628790928,-82
b9,rpi8,1625628791928,-48
b9,rpi8,1625628792932,-86
b9,rpi8,1625628793933,-62
b9,rpi8,1625628794937,-64
b9,rpi8,1625628795940,-45
b9,rpi8,1625628796939,-58
b9,rpi8,1625628797944,-81
b9,rpi8,1625628798945,-43
b9,rpi8,1625628799948,-51
b9,rpi8,1625628800953,-45
b9,rpi8,1625628801954,-79
b9,rpi8,1625628802956,-78
b9,rpi8,1625628803956,-53
b9,rpi8,1625628804960,-63
b9,rpi8,1625628805965,-57
b9,rpi8,1625628806970,-60
b9,rpi8,1625628807973,-56
b9,rpi8,1625628808978,-57
b9,rpi8,1625628809979,-73
b9,rpi8,1625628810980,-53
b9,rpi8,1625628811983,-71
b9,rpi8,1625628812987,-60
b9,rpi8,1625628813989,-84
b9,rpi8,1625628814994,-85
b9,rpi8,1625628815998,-67
b9,rpi8,1625628817000,-75
b9,rpi8,1625628818001,-74
b9,rpi8,1625628819003,-50
b9,rpi8,1625628820004,-86
b9,rpi8,1625628821004,-72
b9,rpi8,1625628822007,-63
b9,rpi8,1625628823011,-69
b9,rpi8,1625628824016,-81
b9,rpi8,1625628825020,-79
b9,rpi8,1625628826023,-77
b9,rpi8,1625628827028,-85
b9,rpi8,1625628828033,-77
b9,rpi8,1625628829036,-44
b9,rpi8,1625628830036,-77
b9,rpi8,1625628831041,-86
b9,rpi8,1625628832044,-44
b9,rpi8,1625628833049,-78
b9,rpi8,1625628834049,-53
b9,rpi8,1625628835055,-67
b9,rpi8,1625628836055,-77
b9,rpi8,1625628837059,-68
b9,rpi8,1625628838059,-62
b9,rpi8,1625628839061,-58
b9,rpi8,1625628840063,-43
b9,rpi8,1625628841069,-76
b9,rpi8,1625628842069,-70
b9,rpi8,1625628843069,-63
b9,rpi8,1625628844073,-87
b9,rpi8,1625628845078,-44
b9,rpi8,1625628846078,-65
b9,rpi8,1625628847078,-89
b9,rpi8,1625628848082,-83
b9,rpi8,1625628849086,-71
b9,rpi8,1625628850087,-54
b9,rpi8,1625628851091,-82
b9,rpi8,1625628852092,-69
b9,rpi8,1625628853093,-84
b9,rpi8,1625628854096,-50
b9,rpi8,1625628855098,-49
b9,rpi8,1625628856103,-82
b9,rpi8,1625628857107,-76
b9,rpi8,1625628858109,-41
b9,rpi8,1625628859111,-45
b9,rpi8,1625628860112,-76
b9,rpi8,1625628861118,-89
b9,rpi8,1625628862119,-86
b9,rpi8,1625628863121,-87
b9,rpi8,1625628864122,-81
b9,rpi8,1625628865125,-81
b9,rpi8,1625628866128,-81
b9,rpi8,1625628867133,-47
b9,rpi8,1625628868136,-70
b9,rpi8,1625628869142,-79
b9,rpi8,1625628870144,-43
b9,rpi8,1625628871149,-74
b9,rpi8,1625628872153,-65
b9,rpi8,1625628873157,-63
b9,rpi8,1625628874158,-42
b9,rpi8,1625628875158,-47
b9,rpi8,1625628876161,-57
b9,rpi8,1625628877161,-87
b9,rpi8,1625628878161,-58
b9,rpi8,1625628879165,-83
b9,rpi8,1625628880167,-46
