anchorID, TransmitterID, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, Avg, Distance
Bed2, A2, -73, -91, -87, -73, -88, -74, -89, -69, -73, -69, -69, -69, -69, -75, -69, -86, -70, -76, -86, -76, -77, -83, -80, -84, -82, -71, -82, -74, -75, -71, -85, -80, -84, -83, -75, -70, -70, -74, -74, -70, -68, -69, -69, -81, -74, -75, -75, -82, -75, -82, -69, -75, -80, -76, -86, -71, -70, -77, -71, -85, -70, -76, -76, -75, -75, -71, -74, -85, -76, -69, -74, -74, -75, -87, -87, -75, -91, -75, -89, -70, -69, -86, -70, -83, -71, -71, -76, -71, -75, -71, -70, -70, -74, -85, -70, -75, -75, -86, -80, -70, -71, -71, -70, -70, -70, -70, -86, -70, -86, -84, -74, -73, -70, -73, -89, -86, -70, -75, -76.14406779661017, 3.4
Bed2, E15, -73, -73, -72, -68, -75, -68, -68, -68, -72, -74, -72, -74, -74, -68, -75, -73, -74, -74, -68, -72, -72, -74, -74, -73, -73, -68, -73, -68, -72, -74, -72, -74, -73, -72, -74, -72, -73, -72, -69, -68, -74, -68, -73, -68, -73, -68, -68, -68, -74, -74, -74, -74, -68, -68, -74, -74, -74, -72, -68, -72, -68, -75, -68, -68, -73, -73, -73, -68, -68, -68, -69, -69, -74, -74, -72, -73, -73, -74, -68, -68, -73, -74, -74, -68, -68, -72, -72, -75, -73, -74, -74, -72, -72, -72, -72, -72, -72, -73, -73, -74, -73, -73, -69, -68, -68, -74, -68, -73, -74, -68, -68, -74, -73, -72, -72, -68, -73, -73, -73, -71.59663865546219, 3.6
E15, Bed2, -73, -69, -69, -69, -73, -69, -79, -73, -73, -69, -79, -79, -73, -79, -73, -79, -69, -80, -73, -69, -79, -69, -69, -79, -79, -70, -79, -70, -73, -81, -73, -70, -79, -79, -69, -74, -69, -74, -73, -70, -69, -78, -77, -76, -74, -75, -77, -75, -76, -74, -69, -69, -69, -75, -70, -69, -75, -74, -69, -69, -69, -75, -69, -74, -75, -75, -69, -74, -74, -75, -69, -76, -69, -76, -76, -74, -76, -76, -76, -76, -68, -76, -76, -69, -71, -69, -72, -77, -68, -68, -80, -69, -69, -79, -69, -79, -69, -70, -79, -79, -79, -69, -79, -72, -72, -72, -72, -71, -69, -71, -79, -72, -80, -69, -69, -72, -80, -71, -79, -73.3781512605042, 3.6
E15, C3, -73, -76, -74, -81, -73, -73, -76, -73, -79, -73, -73, -81, -73, -75, -76, -80, -72, -72, -73, -80, -73, -72, -72, -73, -75, -72, -75, -79, -73, -79, -76, -73, -75, -75, -80, -82, -73, -75, -73, -81, -75, -80, -75, -75, -75, -75, -79, -75, -74, -74, -79, -76, -79, -75, -73, -73, -79, -80, -73, -73, -75, -72, -72, -72, -75, -79, -75, -73, -73, -75, -73, -79, -79, -73, -75, -75, -73, -79, -79, -75, -79, -78, -75, -79, -79, -75, -80, -75, -73, -75, -72, -75, -73, -75, -74, -75, -75, -73, -79, -79, -80, -80, -73, -74, -74, -73, -74, -80, -80, -74, -75, -75, -75, -79, -73, -73, -73, -80, -74, -75.52100840336135, 2.8
C3, E15, -73, -78, -73, -72, -74, -74, -73, -74, -78, -73, -78, -78, -74, -78, -72, -78, -79, -78, -73, -72, -72, -74, -77, -77, -74, -78, -77, -73, -77, -72, -72, -73, -79, -78, -77, -71, -73, -73, -71, -78, -74, -78, -73, -72, -78, -73, -72, -78, -72, -74, -71, -78, -78, -73, -72, -78, -73, -71, -78, -78, -79, -70, -70, -78, -72, -77, -72, -73, -79, -78, -74, -71, -79, -73, -77, -74, -72, -72, -78, -72, -74, -79, -71, -79, -74, -74, -73, -73, -73, -79, -79, -73, -73, -72, -79, -78, -73, -78, -73, -73, -79, -74, -73, -78, -72, -79, -74, -73, -72, -73, -74, -73, -72, -79, -72, -79, -79, -74, -78, -74.8655462184874, 2.8
C3, E14, -70, -74, -76, -70, -75, -76, -70, -74, -74, -74, -70, -70, -77, -76, -76, -75, -70, -76, -76, -73, -74, -77, -71, -76, -77, -73, -77, -75, -70, -69, -69, -74, -73, -69, -74, -69, -70, -74, -74, -70, -76, -69, -70, -74, -74, -74, -69, -76, -70, -69, -74, -76, -77, -76, -76, -74, -69, -70, -69, -76, -69, -76, -74, -77, -69, -73, -73, -70, -75, -68, -76, -69, -77, -76, -76, -69, -69, -68, -76, -74, -69, -77, -75, -77, -74, -74, -69, -76, -74, -70, -69, -77, -70, -77, -76, -74, -69, -75, -73, -76, -76, -76, -74, -76, -69, -75, -75, -70, -70, -78, -70, -76, -69, -77, -77, -76, -70, -78, -73, -73.23529411764706, 3.7
E14, C3, -63, -61, -77, -68, -77, -60, -67, -63, -76, -63, -64, -68, -62, -69, -60, -60, -63, -68, -61, -62, -69, -78, -61, -63, -62, -68, -63, -69, -72, -63, -62, -68, -72, -62, -72, -72, -70, -63, -63, -63, -61, -77, -69, -72, -63, -69, -61, -60, -67, -61, -61, -62, -72, -69, -69, -68, -69, -61, -72, -70, -68, -77, -68, -63, -63, -69, -64, -68, -69, -69, -77, -68, -73, -61, -68, -68, -68, -69, -69, -62, -70, -62, -71, -61, -63, -62, -73, -63, -64, -67, -62, -64, -72, -70, -76, -69, -76, -61, -62, -70, -63, -63, -62, -61, -66, -64, -60, -66, -66, -69, -75, -65, -74, -67, -68, -67, -70, -64, -70, -66.71428571428571, 3.7
E14, Bed10, -56, -57, -66, -67, -55, -56, -62, -56, -66, -56, -56, -66, -63, -66, -56, -57, -66, -57, -54, -57, -56, -65, -54, -56, -63, -63, -57, -56, -57, -55, -57, -54, -57, -56, -66, -64, -56, -56, -66, -63, -65, -56, -65, -56, -65, -63, -55, -55, -54, -63, -54, -65, -65, -56, -65, -54, -65, -55, -55, -56, -56, -56, -53, -62, -55, -66, -57, -54, -56, -56, -66, -65, -58, -58, -62, -67, -53, -54, -65, -66, -58, -53, -56, -58, -62, -56, -67, -67, -56, -56, -58, -54, -54, -54, -58, -68, -56, -58, -65, -62, -62, -67, -67, -54, -62, -55, -62, -56, -56, -54, -54, -56, -58, -67, -62, -67, -56, -62, -56, -59.26890756302521, 4.4
Bed4, E11, -48, -48, -61, -59, -59, -48, -59, -53, -49, -52, -58, -67, -49, -53, -52, -67, -53, -52, -49, -67, -61, -61, -57, -59, -58, -61, -57, -53, -57, -57, -67, -67, -61, -61, -53, -57, -48, -48, -52, -49, -61, -61, -67, -59, -67, -48, -59, -48, -61, -48, -52, -57, -52, -52, -59, -53, -48, -57, -57, -52, -52, -49, -58, -67, -57, -59, -57, -67, -52, -52, -61, -58, -48, -59, -59, -59, -59, -67, -60, -59, -61, -61, -49, -61, -61, -59, -52, -68, -67, -68, -59, -48, -48, -52, -48, -52, -59, -49, -57, -57, -47, -47, -52, -67, -67, -59, -48, -52, -68, -68, -49, -52, -59, -52, -57, -52, -59, -48, -56.46610169491525, 0.97
Bed4, D2, -43, -40, -42, -49, -52, -39, -43, -38, -52, -39, -52, -52, -39, -39, -38, -43, -51, -39, -50, -39, -50, -50, -52, -52, -41, -38, -51, -39, -42, -50, -50, -40, -41, -50, -51, -50, -50, -41, -38, -50, -50, -50, -43, -39, -43, -43, -38, -39, -52, -38, -42, -43, -39, -50, -43, -41, -52, -43, -38, -39, -52, -38, -43, -50, -50, -40, -39, -38, -51, -52, -50, -38, -44, -38, -42, -50, -50, -50, -38, -39, -39, -38, -38, -43, -40, -50, -43, -38, -39, -39, -44, -39, -50, -50, -52, -41, -39, -41, -38, -39, -42, -50, -39, -40, -43, -39, -39, -38, -50, -50, -52, -50, -52, -40, -51, -38, -50, -50, -38, -44.142857142857146, 1.92
