anchorID, TransmitterID, POI, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, Avg, Distance
E15, b2, 1, -62, -62, -59, -59, -59, -59, -62, -62, -62, -59, -59, -59, -62, -62, -58, -56, -58, -63, -63, -63, -57, -57, -58, -58, -58, -61, -57, -57, -58, -60, -60, -60, -60, -56, -56, -58, -60, -60, -60, -60, -56, -56, -56, -58, -58, -57, -58, -61, -61, -56, -56, -58, -58, -61, -61, -61, -56, -56, -56, -57, -60, -60, -56, -58, -61, -61, -56, -56, -58, -61, -61, -55, -57, -57, -57, -56, -56, -56, -57, -57, -57, -60, -60, -56, -55, -55, -61, -56, -57, -57, -57, -57, -61, -61, -57, -61, -61, -61, -57, -57, -57, -57, -57, -60, -60, -60, -60, -60, -60, -60, -55, -57, -57, -57, -57, -57, -57, -57, -60, -58.49579831932773, 1.37
Bed2, b2, 1, -67, -72, -68, -68, -68, -68, -83, -81, -71, -71, -72, -76, -78, -78, -78, -72, -72, -72, -77, -79, -79, -80, -72, -71, -73, -72, -72, -82, -83, -71, -70, -71, -71, -71, -84, -77, -72, -72, -71, -66, -66, -66, -68, -68, -70, -70, -70, -63, -68, -66, -65, -68, -67, -67, -66, -66, -66, -66, -67, -67, -66, -65, -62, -62, -62, -66, -66, -66, -63, -64, -65, -65, -64, -66, -68, -68, -68, -66, -66, -66, -67, -67, -67, -67, -67, -66, -66, -67, -67, -67, -69, -69, -68, -68, -68, -67, -67, -67, -67, -68, -68, -68, -67, -67, -66, -67, -69, -69, -69, -68, -68, -66, -66, -68, -68, -66, -68, -65, -69, -69.10084033613445, 1.21
A2, b2, 1, -74, -70, -72, -72, -72, -72, -72, -72, -72, -73, -73, -74, -73, -73, -73, -74, -74, -73, -72, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -74, -74, -73, -73, -72, -74, -73, -73, -73, -73, -73, -72, -73, -73, -73, -73, -73, -73, -73, -72, -72, -73, -73, -72, -72, -73, -73, -74, -74, -72, -72, -72, -73, -73, -73, -73, -72, -72, -73, -73, -74, -73, -73, -72, -73, -73, -73, -73, -74, -72, -72, -72, -73, -73, -74, -72, -72, -72, -75, -72, -72, -70, -82, -76, -76, -71, -71, -71, -77, -72, -71, -71, -74, -72, -73, -73, -73, -73, -74, -73, -73, -72, -72, -72, -72.88235294117646, 3.96
C4, b2, 1, -75, -75, -80, -88, -76, -76, -81, -81, -80, -81, -88, -87, -76, -76, -76, -76, -75, -75, -76, -76, -76, -78, -78, -87, -76, -76, -76, -76, -76, -77, -79, -88, -88, -88, -81, -75, -75, -76, -76, -76, -76, -76, -76, -76, -77, -77, -77, -77, -76, -86, -76, -76, -77, -76, -76, -86, -87, -88, -87, -76, -77, -76, -76, -76, -76, -87, -87, -76, -76, -76, -76, -76, -76, -76, -75, -87, -87, -76, -76, -76, -76, -86, -86, -86, -77, -77, -77, -75, -75, -75, -75, -76, -76, -76, -87, -89, -76, -76, -76, -78, -78, -78, -94, -78, -77, -77, -74, -74, -76, -77, -77, -77, -77, -77, -77, -88, -76, -76, -76, -78.60504201680672, 4.82
Bed4, b2, 1, -72, -70, -79, -79, -79, -66, -66, -72, -79, -79, -67, -67, -67, -73, -72, -72, -79, -79, -67, -73, -73, -82, -83, -67, -68, -74, -73, -83, -83, -67, -67, -73, -83, -83, -83, -67, -67, -67, -77, -79, -79, -68, -67, -67, -67, -67, -67, -67, -73, -82, -68, -73, -73, -81, -68, -73, -73, -73, -81, -80, -80, -67, -67, -73, -80, -77, -77, -73, -73, -73, -73, -80, -81, -81, -81, -67, -67, -67, -67, -73, -81, -81, -81, -67, -73, -81, -81, -67, -73, -73, -81, -81, -67, -67, -67, -67, -81, -81, -81, -82, -67, -68, -67, -73, -73, -81, -82, -67, -74, -74, -81, -81, -70, -78, -77, -77, -80, -80, -68, -74.04201680672269, 6.15
Bed10, b2, 1, -65, -68, -68, -68, -68, -68, -74, -73, -64, -67, -68, -69, -78, -78, -65, -65, -65, -76, -76, -65, -69, -77, -77, -68, -68, -64, -65, -68, -68, -77, -77, -65, -74, -68, -68, -69, -65, -65, -76, -69, -74, -74, -64, -68, -68, -68, -68, -68, -65, -68, -68, -68, -69, -64, -64, -65, -68, -68, -69, -68, -67, -66, -72, -72, -71, -68, -67, -67, -72, -72, -69, -68, -68, -69, -69, -69, -73, -70, -70, -86, -86, -72, -63, -62, -67, -89, -90, -68, -73, -73, -76, -76, -72, -72, -72, -72, -68, -68, -76, -67, -72, -63, -76, -66, -66, -68, -76, -68, -72, -63, -63, -66, -67, -68, -68, -68, -68, -67, -77, -69.83193277310924, 10.24
E14, b2, 1, -84, -80, -86, -86, -86, -71, -71, -88, -86, -88, -88, -88, -71, -71, -71, -80, -87, -85, -84, -84, -81, -86, -85, -76, -74, -74, -74, -86, -85, -85, -85, -73, -73, -86, -86, -84, -68, -72, -78, -78, -78, -71, -82, -82, -87, -82, -82, -88, -88, -81, -81, -81, -81, -77, -81, -81, -74, -74, -74, -80, -80, -80, -84, -84, -84, -84, -84, -84, -84, -71, -71, -72, -80, -80, -80, -80, -80, -74, -88, -84, -72, -85, -85, -85, -75, -71, -71, -86, -86, -89, -87, -87, -87, -87, -87, -87, -87, -83, -83, -83, -83, -83, -83, -91, -91, -91, -91, -91, -85, -85, -88, -77, -80, -89, -89, -89, -89, -70, -87, -81.78151260504201, 8.53
E15, b2, 2, -57, -58, -61, -58, -60, -60, -61, -60, -60, -60, -60, -60, -60, -60, -61, -61, -61, -60, -60, -62, -61, -61, -59, -60, -60, -61, -62, -62, -62, -61, -60, -60, -61, -61, -61, -61, -61, -60, -60, -59, -61, -61, -61, -61, -61, -60, -59, -59, -61, -60, -59, -59, -61, -61, -60, -59, -59, -61, -61, -60, -60, -59, -59, -59, -61, -60, -60, -60, -60, -59, -61, -61, -61, -60, -60, -60, -60, -61, -61, -61, -60, -60, -59, -60, -61, -61, -60, -60, -60, -59, -59, -61, -61, -60, -60, -60, -60, -59, -61, -60, -60, -60, -59, -61, -61, -60, -60, -60, -62, -66, -66, -66, -66, -66, -66, -66, -60, -61, -60, -60.563025210084035, 1.61
Bed2, b2, 2, -63, -70, -71, -64, -80, -81, -69, -69, -69, -69, -82, -68, -68, -68, -68, -81, -69, -69, -68, -64, -64, -78, -69, -64, -77, -78, -78, -70, -70, -70, -63, -79, -79, -79, -79, -79, -63, -63, -63, -78, -69, -63, -63, -64, -80, -77, -77, -69, -69, -69, -65, -77, -77, -70, -69, -63, -64, -64, -64, -64, -79, -79, -69, -69, -69, -82, -69, -69, -65, -65, -85, -69, -69, -64, -64, -77, -77, -69, -69, -64, -64, -64, -64, -64, -69, -69, -70, -69, -65, -83, -68, -69, -69, -65, -80, -80, -68, -68, -66, -65, -65, -81, -81, -81, -69, -69, -65, -65, -66, -85, -83, -69, -69, -66, -66, -69, -66, -65, -65, -70.38655462184875, 1.29
A2, b2, 2, -68, -68, -68, -70, -68, -68, -68, -68, -67, -71, -68, -68, -68, -67, -72, -67, -68, -68, -67, -67, -67, -67, -71, -67, -68, -68, -71, -71, -71, -71, -72, -72, -67, -67, -67, -67, -67, -72, -71, -68, -68, -67, -67, -67, -67, -67, -71, -68, -68, -68, -72, -71, -71, -71, -68, -68, -68, -72, -72, -68, -68, -68, -72, -72, -71, -71, -71, -68, -68, -68, -68, -72, -73, -73, -68, -67, -67, -67, -72, -67, -68, -67, -67, -67, -67, -67, -67, -68, -68, -68, -68, -68, -72, -68, -67, -67, -67, -67, -67, -66, -66, -67, -67, -67, -67, -67, -68, -67, -67, -67, -67, -67, -67, -67, -67, -68, -67, -67, -72, -68.45378151260505, 3.08
