TransmitterID,anchorID, Avg, Distance
rpi8, rpi9,-57.2,2.254
rpi8, rpi4,-68.275,3.43
rpi8, rpi12,-53.275,3.45
rpi8, rpi10,-67.6,5.184
rpi8, rpi16,-66.175,5.468
rpi8, rpi17,-66.025,6.169
rpi8, rpi13,-58.4,7.03
rpi8, rpi18,-74.2,7.901
rpi8, rpi15,-66.45,8.436
rpi8, rpi21,-76.25,8.731
rpi8, rpi19,-74.45,9.317
rpi8, rpi24,-73.775,11.318
rpi17, rpi16,-57.55,1.76
rpi17, rpi18,-64.85,2.53
rpi17, rpi19,-67.3,3.521
rpi17, rpi9,-64.9,3.793
rpi17, rpi13,-63.475,3.847
rpi17, rpi21,-55.525,3.981
rpi17, rpi12,-56.85,4.253
rpi17, rpi8,-66.175,6.169
rpi17, rpi10,-64.125,7.756
rpi17, rpi15,-68.575,7.991
rpi17, rpi4,-70.1,9.105
rpi17, rpi24,-67.15,9.961
rpi10, rpi15,-60.95,3.607
rpi10, rpi4,-70.625,3.65
rpi10, rpi12,-55.95,3.801
rpi10, rpi8,-68.475,5.184
rpi10, rpi13,-58.675,5.298
rpi10, rpi9,-61.75,5.844
rpi10, rpi16,-50.8,6.092
rpi10, rpi24,-70.325,6.607
rpi10, rpi17,-60.325,7.756
rpi10, rpi21,-64.95,7.862
rpi10, rpi18,-70.525,10.248
rpi10, rpi19,-74.175,10.64
rpi18, rpi19,-64.525,2.45
rpi18, rpi17,-63.275,2.53
rpi18, rpi16,-60.8,4.29
rpi18, rpi9,-67.85,5.449
rpi18, rpi13,-57.425,6.242
rpi18, rpi21,-62.075,6.606
rpi18, rpi12,-57.275,6.612
rpi18, rpi8,-76.175,7.901
rpi18, rpi10,-73.025,10.248
rpi18, rpi15,-66.825,10.458
rpi18, rpi4,-72.425,11.299
rpi18, rpi24,-70.175,12.014
rpi13, rpi16,-48.1,2.18
rpi13, rpi21,-55.775,2.542
rpi13, rpi12,-57.8,3.547
rpi13, rpi17,-62.1,3.847
rpi13, rpi15,-53.95,4.522
rpi13, rpi4,-69.6,5.01
rpi13, rpi9,-59.725,5.222
rpi13, rpi10,-60.825,5.298
rpi13, rpi24,-63.55,5.604
rpi13, rpi19,-63.125,6.093
rpi13, rpi18,-59.775,6.242
rpi13, rpi8,-57.25,7.03
rpi16, rpi17,-57.225,1.76
rpi16, rpi13,-49.2,2.18
rpi16, rpi12,-52.275,2.751
rpi16, rpi9,-61.925,3.36
rpi16, rpi21,-67.325,3.78
rpi16, rpi18,-63.8,4.29
rpi16, rpi19,-64.375,4.888
rpi16, rpi8,-68.075,5.468
rpi16, rpi15,-68.025,5.908
rpi16, rpi10,-53.575,6.092
rpi16, rpi4,-59.275,7.187
rpi16, rpi24,-60.075,7.745
rpi12, rpi9,-44.775,2.634
rpi12, rpi16,-52.525,2.663
rpi12, rpi8,-53.4,3.45
rpi12, rpi13,-58.05,3.547
rpi12, rpi10,-57.0,3.801
rpi12, rpi17,-56.9,4.253
rpi12, rpi4,-60.375,5.29
rpi12, rpi15,-55.325,5.445
rpi12, rpi21,-63.7,5.993
rpi12, rpi18,-62.725,6.612
rpi12, rpi24,-65.7,7.426
rpi12, rpi19,-65.275,7.602
rpi4, rpi8,-68.1,3.43
rpi4, rpi10,-69.15,3.65
rpi4, rpi9,-70.55,4.689
rpi4, rpi13,-71.1,5.01
rpi4, rpi12,-58.725,5.29
rpi4, rpi16,-58.25,7.187
rpi4, rpi15,-71.25,7.71
rpi4, rpi17,-70.75,9.105
rpi4, rpi24,-74.0,10.51
rpi4, rpi18,-73.275,11.299
rpi4, rpi21,-71.75,11.532
rpi4, rpi19,-72.025,12.502
rpi19, rpi18,-64.45,2.45
rpi19, rpi17,-59.4,3.521
rpi19, rpi21,-67.775,4.254
rpi19, rpi16,-61.75,4.888
rpi19, rpi13,-63.625,6.093
rpi19, rpi9,-77.575,7.102
