beaconid, anchorId, time, rssi
b2,b827eb0827cf,1633513141028,-69
b2,b827ebdef939,1633513141063,-89
b2,b827eb527b42,1633513141063,-62
b2,b827ebed958b,1633513141066,-71
b2,b827ebd2aa10,1633513141070,-83
b2,b827eb259b99,1633513141073,-84
b2,b827ebfa82f0,1633513141076,-82
b2,b827ebc26413,1633513141078,-69
b2,b827ebd17612,1633513141087,-90
b2,b827eb3f8951,1633513141099,-85
b2,b827eb0827cf,1633513141536,-59
b2,b827eb640a9c,1633513141554,-73
b2,b827eb5b744d,1633513141573,-57
b2,b827eb259b99,1633513141579,-83
b2,b827ebc26413,1633513141582,-73
b2,b827eb3f8951,1633513141604,-85
b2,b827eb0827cf,1633513142032,-74
b2,b827eb640a9c,1633513142057,-75
b2,b827ebdef939,1633513142070,-87
b2,b827eb527b42,1633513142070,-76
b2,b827ebed958b,1633513142072,-73
b2,b827eb5b744d,1633513142073,-76
b2,b827ebd2aa10,1633513142077,-65
b2,b827eb259b99,1633513142088,-65
b2,b827ebd17612,1633513142093,-84
b2,b827eb3f8951,1633513142104,-78
b2,b827eb3ab224,1633513142120,-74
b2,b827eb0827cf,1633513142542,-75
b2,b827eb527b42,1633513142580,-75
b2,b827ebed958b,1633513142581,-74
b2,b827ebd2aa10,1633513142586,-80
b2,b827eb259b99,1633513142589,-80
b2,b827ebd17612,1633513142603,-83
b2,b827eb3ab224,1633513142630,-74
b2,b827eb0827cf,1633513143051,-75
b2,b827eb640a9c,1633513143076,-72
b2,b827ebdef939,1633513143089,-75
b2,b827ebed958b,1633513143091,-74
b2,b827eb5b744d,1633513143093,-62
b2,b827ebd2aa10,1633513143096,-79
b2,b827eb259b99,1633513143099,-79
b2,b827ebd17612,1633513143112,-82
b2,b827eb0827cf,1633513143559,-75
b2,b827eb5b744d,1633513143599,-76
b2,b827ebc26413,1633513143610,-68
b2,b827eb3f8951,1633513143632,-83
b2,b827eb3ab224,1633513143646,-81
b2,b827eb0827cf,1633513145584,-59
b2,b827eb640a9c,1633513145606,-58
b2,b827eb527b42,1633513145620,-77
b2,b827ebdef939,1633513145621,-88
b2,b827eb5b744d,1633513145625,-70
