beaconid, anchorId, time, rssi
b2,b827ebed958b,1625737290045,-72
b2,b827eb640a9c,1625737290057,-68
b2,b827ebdef939,1625737290058,-76
b2,b827eb5b744d,1625737290063,-69
b2,b827ebd17612,1625737290064,-56
b2,b827eb3ab224,1625737290065,-81
b2,b827ebc26413,1625737290070,-72
b2,b827ebfa82f0,1625737290073,-82
b2,b827eb3f8951,1625737290078,-72
b2,b827eb259b99,1625737290082,-79
b2,b827eb527b42,1625737290105,-60
b2,b827ebed958b,1625737290554,-58
b2,b827ebdef939,1625737290567,-76
b2,b827ebd2aa10,1625737290568,-68
b2,b827eb0827cf,1625737290568,-86
b2,b827eb860cbf,1625737290569,-41
b2,b827eb5b744d,1625737290572,-71
b2,b827ebd17612,1625737290573,-56
b2,b827ebc26413,1625737290578,-72
b2,b827ebfa82f0,1625737290581,-82
b2,b827eb3f8951,1625737290587,-71
b2,b827eb259b99,1625737290590,-74
b2,b827eb527b42,1625737290614,-60
b2,b827eb0827cf,1625737291070,-75
b2,b827eb860cbf,1625737291072,-54
b2,b827ebd17612,1625737291075,-76
b2,b827eb5b744d,1625737291079,-62
b2,b827eb3f8951,1625737291090,-68
b2,b827eb259b99,1625737291093,-65
b2,b827eb527b42,1625737291116,-66
b2,b827eb640a9c,1625737291574,-57
b2,b827ebd2aa10,1625737291575,-90
b2,b827ebdef939,1625737291575,-77
b2,b827eb0827cf,1625737291577,-66
b2,b827eb3ab224,1625737291582,-84
b2,b827ebc26413,1625737291586,-81
b2,b827ebfa82f0,1625737291590,-75
b2,b827eb3f8951,1625737291594,-52
b2,b827eb259b99,1625737291597,-79
b2,b827eb527b42,1625737291621,-64
b2,b827ebed958b,1625737292067,-75
b2,b827eb640a9c,1625737292079,-68
b2,b827ebd2aa10,1625737292080,-90
b2,b827ebdef939,1625737292080,-77
b2,b827eb0827cf,1625737292082,-82
b2,b827eb860cbf,1625737292083,-55
b2,b827eb5b744d,1625737292084,-83
b2,b827ebd17612,1625737292086,-78
b2,b827eb3ab224,1625737292087,-82
b2,b827ebfa82f0,1625737292095,-75
b2,b827eb3f8951,1625737292099,-73
b2,b827eb259b99,1625737292102,-69
b2,b827eb527b42,1625737292127,-67
b2,b827ebed958b,1625737292572,-75
b2,b827eb640a9c,1625737292583,-70
b2,b827ebdef939,1625737292584,-75
b2,b827ebd2aa10,1625737292585,-82
b2,b827eb5b744d,1625737292589,-54
b2,b827ebc26413,1625737292596,-83
b2,b827ebfa82f0,1625737292599,-73
b2,b827eb259b99,1625737292608,-80
b2,b827eb527b42,1625737292631,-67
b2,b827ebed958b,1625737293073,-72
b2,b827ebd2aa10,1625737293085,-82
b2,b827eb640a9c,1625737293085,-69
b2,b827eb0827cf,1625737293087,-74
b2,b827eb860cbf,1625737293089,-54
b2,b827eb5b744d,1625737293090,-49
b2,b827ebc26413,1625737293098,-73
b2,b827eb3f8951,1625737293106,-70
b2,b827eb259b99,1625737293109,-75
b2,b827eb527b42,1625737293132,-61
b2,b827ebdef939,1625737293589,-81
b2,b827eb5b744d,1625737293594,-54
b2,b827ebd17612,1625737293595,-63
b2,b827ebfa82f0,1625737293604,-68
b2,b827eb259b99,1625737293613,-75
b2,b827ebed958b,1625737294086,-71
b2,b827ebd2aa10,1625737294098,-83
b2,b827eb640a9c,1625737294099,-59
b2,b827eb0827cf,1625737294099,-71
b2,b827eb5b744d,1625737294103,-62
b2,b827ebd17612,1625737294104,-76
b2,b827eb3ab224,1625737294106,-82
b2,b827ebc26413,1625737294111,-67
b2,b827eb3f8951,1625737294118,-68
b2,b827eb259b99,1625737294122,-74
b2,b827eb527b42,1625737294145,-64
b2,b827ebed958b,1625737294593,-72
b2,b827eb640a9c,1625737294606,-73
b2,b827eb5b744d,1625737294610,-71
b2,b827eb860cbf,1625737294610,-54
b2,b827ebd17612,1625737294611,-76
b2,b827eb3ab224,1625737294614,-81
b2,b827ebc26413,1625737294617,-80
b2,b827ebfa82f0,1625737294622,-61
b2,b827eb3f8951,1625737294626,-68
b2,b827eb259b99,1625737294628,-83
b2,b827eb527b42,1625737294652,-51
b2,b827ebed958b,1625737295101,-71
b2,b827eb640a9c,1625737295113,-67
b2,b827ebdef939,1625737295114,-78
b2,b827ebd2aa10,1625737295115,-76
b2,b827eb0827cf,1625737295116,-83
b2,b827eb860cbf,1625737295118,-54
b2,b827eb5b744d,1625737295118,-85
b2,b827eb3ab224,1625737295122,-81
b2,b827ebc26413,1625737295125,-79
b2,b827ebfa82f0,1625737295130,-76
b2,b827eb3f8951,1625737295134,-67
b2,b827eb259b99,1625737295136,-85
b2,b827eb527b42,1625737295161,-65
b2,b827ebed958b,1625737295608,-60
b2,b827eb640a9c,1625737295619,-68
b2,b827ebdef939,1625737295620,-79
b2,b827ebd2aa10,1625737295621,-80
b2,b827eb0827cf,1625737295622,-84
b2,b827eb5b744d,1625737295624,-85
b2,b827ebfa82f0,1625737295636,-75
b2,b827eb3f8951,1625737295639,-73
b2,b827eb527b42,1625737295667,-70
b2,b827ebd17612,1625737295755,-68
b2,b827ebed958b,1625737296111,-61
b2,b827eb640a9c,1625737296121,-69
b2,b827ebdef939,1625737296122,-77
b2,b827ebd2aa10,1625737296123,-80
b2,b827ebd17612,1625737296128,-70
b2,b827eb5b744d,1625737296128,-68
b2,b827ebc26413,1625737296135,-71
b2,b827ebfa82f0,1625737296138,-71
b2,b827eb259b99,1625737296147,-70
b2,b827eb527b42,1625737296169,-53
b2,b827ebed958b,1625737296614,-75
b2,b827eb640a9c,1625737296626,-70
b2,b827ebd2aa10,1625737296626,-68
b2,b827eb860cbf,1625737296629,-55
b2,b827ebd17612,1625737296632,-71
b2,b827eb3ab224,1625737296633,-80
b2,b827ebc26413,1625737296638,-72
b2,b827ebfa82f0,1625737296641,-71
b2,b827eb3f8951,1625737296647,-71
b2,b827eb259b99,1625737296650,-74
b2,b827eb527b42,1625737296673,-62
b2,b827ebed958b,1625737297124,-73
b2,b827eb0827cf,1625737297137,-72
b2,b827eb860cbf,1625737297139,-55
b2,b827eb5b744d,1625737297141,-63
b2,b827ebd17612,1625737297142,-70
b2,b827ebc26413,1625737297148,-74
b2,b827eb3f8951,1625737297157,-70
b2,b827eb259b99,1625737297159,-70
b2,b827ebfa82f0,1625737297262,-66
b2,b827ebed958b,1625737297630,-73
b2,b827ebd2aa10,1625737297642,-82
b2,b827ebdef939,1625737297642,-82
b2,b827eb0827cf,1625737297644,-72
b2,b827eb640a9c,1625737297644,-74
b2,b827eb860cbf,1625737297645,-55
b2,b827ebd17612,1625737297648,-75
b2,b827eb5b744d,1625737297648,-61
b2,b827eb3ab224,1625737297649,-80
b2,b827ebc26413,1625737297655,-59
b2,b827ebfa82f0,1625737297657,-79
b2,b827eb3f8951,1625737297663,-70
b2,b827eb259b99,1625737297666,-74
b2,b827eb527b42,1625737297689,-63
b2,b827ebed958b,1625737298131,-70
b2,b827eb640a9c,1625737298143,-67
b2,b827ebdef939,1625737298144,-77
b2,b827eb0827cf,1625737298145,-83
b2,b827eb860cbf,1625737298147,-54
b2,b827eb3ab224,1625737298151,-78
b2,b827ebfa82f0,1625737298159,-61
b2,b827eb3f8951,1625737298164,-68
b2,b827ebed958b,1625737298635,-74
b2,b827eb640a9c,1625737298646,-69
b2,b827ebdef939,1625737298647,-78
b2,b827eb0827cf,1625737298648,-84
b2,b827eb860cbf,1625737298650,-54
b2,b827ebd17612,1625737298653,-83
b2,b827eb3ab224,1625737298654,-82
b2,b827ebc26413,1625737298659,-81
b2,b827ebfa82f0,1625737298662,-70
b2,b827eb3f8951,1625737298666,-58
b2,b827eb527b42,1625737298693,-55
b2,b827eb640a9c,1625737299153,-71
b2,b827ebd2aa10,1625737299154,-83
b2,b827ebdef939,1625737299154,-64
b2,b827eb0827cf,1625737299155,-87
b2,b827eb860cbf,1625737299157,-54
b2,b827eb5b744d,1625737299159,-67
b2,b827eb3ab224,1625737299161,-70
b2,b827ebd17612,1625737299161,-82
b2,b827ebfa82f0,1625737299169,-71
b2,b827eb3f8951,1625737299173,-74
b2,b827eb527b42,1625737299201,-68
b2,b827ebed958b,1625737299652,-75
b2,b827eb640a9c,1625737299663,-56
b2,b827ebdef939,1625737299664,-76
b2,b827ebd2aa10,1625737299664,-80
b2,b827eb0827cf,1625737299665,-85
b2,b827eb860cbf,1625737299668,-43
b2,b827eb5b744d,1625737299669,-67
b2,b827ebc26413,1625737299676,-80
b2,b827eb3f8951,1625737299683,-58
b2,b827eb259b99,1625737299688,-81
b2,b827eb527b42,1625737299710,-69
b2,b827ebed958b,1625737300152,-74
b2,b827ebdef939,1625737300164,-82
b2,b827ebd2aa10,1625737300164,-82
b2,b827eb0827cf,1625737300165,-71
b2,b827eb860cbf,1625737300167,-55
b2,b827eb5b744d,1625737300169,-62
b2,b827eb3ab224,1625737300171,-80
b2,b827ebd17612,1625737300171,-56
b2,b827ebc26413,1625737300177,-64
b2,b827ebfa82f0,1625737300179,-70
b2,b827eb3f8951,1625737300185,-72
b2,b827eb259b99,1625737300188,-74
b2,b827eb527b42,1625737300211,-64
b2,b827ebd2aa10,1625737300674,-82
b2,b827ebdef939,1625737300674,-82
b2,b827eb0827cf,1625737300675,-57
b2,b827eb860cbf,1625737300677,-55
b2,b827eb5b744d,1625737300679,-61
b2,b827eb3ab224,1625737300681,-80
